street_id,street_address,latitude,longitude,ZEDZ(inside =1),pop_distribution,parcel_delivered(#/year),parcel_delivered(#/day),parcel_delivered(kg/day),USPS_Depot_name,USPS_Depot_parcel(kg),UPS_Depot_name,UPS_Depot_parcel(kg),Amazon_Depot_name,Amazon_Depot_Depot_parcel(kg),FedEX_Depot_name,FedEX_Depot_parcel(kg)
186,"Euclid Street, Santa Monica, CA90402",34.028019,-118.4926653,0,523.3308178,14653.2629,40.14592575,44.16051833,depot-4,16.78099696,depot-9,10.5985244,depot-10,9.273708848,depot-12,7.948893299
187,"Euclid Street, Santa Monica, CA90403",34.028019,-118.4926653,0,523.3308178,14653.2629,40.14592575,44.16051833,depot-4,16.78099696,depot-9,10.5985244,depot-10,9.273708848,depot-12,7.948893299
188,"Euclid Street, Santa Monica, CA90404",34.0244983,-118.4876624,0,258.5636307,7239.78166,19.83501825,21.81852007,depot-3,8.291037628,depot-9,5.236444817,depot-10,4.581889215,depot-12,3.927333613
189,"Euclid Street, Santa Monica, CA90405",34.028019,-118.4926653,0,523.3308178,14653.2629,40.14592575,44.16051833,depot-4,16.78099696,depot-9,10.5985244,depot-10,9.273708848,depot-12,7.948893299
190,"Exposition Boulevard, Santa Monica, CA90404",34.030188,-118.4576109,0,349.9549775,9798.73937,26.84586129,29.53044742,depot-3,11.22157002,depot-9,7.08730738,depot-10,6.201393958,depot-14,5.315480535
191,"Foxtail Drive, Santa Monica, CA90402",34.0363396,-118.5067306,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-12,5.816917412
192,"Frank Street, Santa Monica, CA90404",34.0256642,-118.4669173,0,349.9549775,9798.73937,26.84586129,29.53044742,depot-5,11.22157002,depot-9,7.08730738,depot-10,6.201393958,depot-14,5.315480535
193,"Franklin Street, Santa Monica, CA90403",34.0358329,-118.466759,0,163.6776194,4582.973344,12.55609135,13.81170049,depot-3,5.248446186,depot-9,3.314808117,depot-10,2.900457103,depot-14,2.486106088
194,"Franklin Street, Santa Monica, CA90404",34.0358329,-118.466759,0,163.6776194,4582.973344,12.55609135,13.81170049,depot-3,5.248446186,depot-9,3.314808117,depot-10,2.900457103,depot-14,2.486106088
195,"Fraser Avenue, Santa Monica, CA90405",34.0021365,-118.4850248,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-11,3.430167318
196,"Frederick Street, Santa Monica, CA90405",34.0056206,-118.4752876,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-12,3.529954103
197,"Gale Place, Santa Monica, CA90402",34.0421752,-118.5019136,0,914.6768518,25610.95185,70.16699137,77.18369051,depot-2,29.32980239,depot-9,18.52408572,depot-10,16.20857501,depot-12,13.89306429
198,"Georgina Avenue, Santa Monica, CA90402",34.0445785,-118.4947872,0,914.6768518,25610.95185,70.16699137,77.18369051,depot-2,29.32980239,depot-9,18.52408572,depot-10,16.20857501,depot-13,13.89306429
199,"Glenn Avenue, Santa Monica, CA90405",34.0054205,-118.4693845,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-14,3.835124979
200,"Glenn Court, Santa Monica, CA90405",34.0048749,-118.4687024,0,252.4928963,7069.801097,19.36931807,21.30624988,depot-6,8.096374955,depot-9,5.113499971,depot-10,4.474312475,depot-14,3.835124979
201,"Goldsmith Street, Santa Monica, CA90405",34.0148986,-118.4666969,0,392.3809358,10986.6662,30.10045535,33.11050088,depot-5,12.58199034,depot-9,7.946520212,depot-10,6.953205185,depot-14,5.959890159
202,"Grant Street, Santa Monica, CA90405",34.0113701,-118.4809094,0,392.3809358,10986.6662,30.10045535,33.11050088,depot-5,12.58199034,depot-9,7.946520212,depot-10,6.953205185,depot-12,5.959890159
203,"Haldeman Road, Santa Monica, CA90402",34.0404053,-118.5130062,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
204,"Hart Avenue, Santa Monica, CA90405",34.0021051,-118.486326,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-11,3.430167318
205,"Harvard Street, Santa Monica, CA90403",34.0367018,-118.4753591,0,147.3492423,4125.778785,11.30350352,12.43385387,depot-2,4.724864471,depot-9,2.984124929,depot-10,2.611109313,depot-13,2.238093697
206,"Harvard Street, Santa Monica, CA90404",34.0367018,-118.4753591,0,147.3492423,4125.778785,11.30350352,12.43385387,depot-2,4.724864471,depot-9,2.984124929,depot-10,2.611109313,depot-13,2.238093697
207,"High Place, Santa Monica, CA90404",34.0244025,-118.5133233,0,382.9680475,10723.10533,29.37837077,32.31620785,depot-1,12.28015898,depot-9,7.755889883,depot-10,6.786403648,depot-11,5.816917412
208,"Highland Avenue, Santa Monica, CA90405",34.0056263,-118.4783424,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-12,3.529954103
209,"Hightree Road, Santa Monica, CA90402",34.0379788,-118.5169135,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
210,"Hill Pl N, Santa Monica, CA90405",34.0001965,-118.4814561,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-11,3.529954103
211,"Hill Street, Santa Monica, CA90405",34.0018039,-118.4816758,1,232.4013795,6507.238625,17.82805103,19.61085613,depot-6,7.45212533,depot-9,4.706605471,depot-10,4.118279787,depot-11,3.529954103
212,"Hillside Lane, Santa Monica, CA90402",34.0337539,-118.518681,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
213,"Hilltree Road, Santa Monica, CA90402",34.0369132,-118.5151209,0,0,0,0,0,depot-1,0,depot-9,0,depot-10,0,depot-11,0
214,"Hollister Avenue, Santa Monica, CA90405",34.0038843,-118.4861685,1,225.8317227,6323.288237,17.32407736,19.0564851,depot-6,7.241464337,depot-9,4.573556423,depot-10,4.001861871,depot-11,3.430167318
